Frequency (GHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y13],IM[Y13],RE[Y21],IM[Y21],RE[Y22],IM[Y22],RE[Y23],IM[Y23],RE[Y31],IM[Y31],RE[Y32],IM[Y32],RE[Y33],IM[Y33]
0.219,2.8019954880e-7,-1.098393678,-2.80E-07,1.098537176,3.611897727e-13,-4.31E-06,-2.80E-07,1.098537176,2.8020050713e-7,-1.098393498,-3.58E-13,-7.38E-06,3.611898183e-13,-4.31E-06,-3.58E-13,-7.38E-06,-3.34E-15,1.9561841033e-4
0.2195,1.3943387851e-7,-1.095894817,-1.39E-07,1.096038642,6.684440887e-14,-4.32E-06,-1.39E-07,1.096038642,1.3943024832e-7,-1.095894636,-6.51E-14,-7.39E-06,6.684431587e-14,-4.32E-06,-6.51E-14,-7.39E-06,-2.37E-15,1.9606506251e-4
0.22,1.985521124e-13,-1.09340728,-1.94E-13,1.093551433,3.096474076e-18,-4.33E-06,-1.55E-13,1.093551433,1.507078433e-13,-1.0934071,-3.75E-18,-7.41E-06,2.291704662e-18,-4.33E-06,-2.48E-18,-7.41E-06,-1.02E-17,1.9651171494e-4
0.2205,-6.91E-08,-1.090930987,6.9070549487e-8,1.091075468,-2.39E-13,-4.34E-06,6.9070549489e-8,1.091075468,-6.91E-08,-1.090930806,2.373800344e-13,-7.43E-06,-2.39E-13,-4.34E-06,2.373800055e-13,-7.43E-06,-4.34E-16,1.9695836760e-4
0.221,-1.37E-07,-1.088465866,1.3740933529e-7,1.088610674,-2.51E-13,-4.35E-06,1.3740933530e-7,1.088610674,-1.37E-07,-1.088465684,2.475209748e-13,-7.44E-06,-2.51E-13,-4.35E-06,2.475208552e-13,-7.44E-06,5.336390069e-16,1.9740502051e-4
0.2215,-2.05E-07,-1.086011838,2.0503031586e-7,1.086156974,-2.60E-13,-4.36E-06,2.0503031586e-7,1.086156974,-2.05E-07,-1.086011656,2.552636546e-13,-7.46E-06,-2.60E-13,-4.36E-06,2.552636668e-13,-7.46E-06,1.496045291e-15,1.9785167365e-4
0.222,-2.72E-07,-1.08356883,2.7193933371e-7,1.083714294,-2.67E-13,-4.37E-06,2.7193933370e-7,1.083714294,-2.72E-07,-1.083568648,2.606252337e-13,-7.48E-06,-2.67E-13,-4.37E-06,2.606253024e-13,-7.48E-06,2.457656374e-15,1.9829832703e-4
0.2225,-3.38E-07,-1.081136768,3.3814237930e-7,1.081282559,-2.72E-13,-4.38E-06,3.3814237931e-7,1.081282559,-3.38E-07,-1.081136585,2.636275285e-13,-7.49E-06,-2.72E-13,-4.38E-06,2.636275170e-13,-7.49E-06,3.418748415e-15,1.9874498066e-4
0.223,-4.04E-07,-1.078715577,4.0364509746e-7,1.078861696,-2.74E-13,-4.39E-06,4.0364509746e-7,1.078861696,-4.04E-07,-1.078715394,2.642896789e-13,-7.51E-06,-2.74E-13,-4.39E-06,2.642897103e-13,-7.51E-06,4.380725861e-15,1.9919163452e-4
0.2235,-4.68E-07,-1.076305187,4.6845343481e-7,1.076451633,-2.74E-13,-4.40E-06,4.6845343481e-7,1.076451633,-4.68E-07,-1.076305003,2.626311941e-13,-7.53E-06,-2.74E-13,-4.40E-06,2.626311989e-13,-7.53E-06,5.333925673e-15,1.9963828863e-4
