Frequency (GHz),RE[Y11],IM[Y11],RE[Y12],IM[Y12],RE[Y21],IM[Y21],RE[Y22],IM[Y22]
0.2365,2.8367004695e-6,-2.522837813,-1.60E-12,-2.73E-06,-1.60E-12,-2.73E-06,2.086724407e-14,3.8680711660e-5
0.237,2.9082717075e-6,-2.517508395,-1.59E-12,-2.73E-06,-1.59E-12,-2.73E-06,2.148206354e-14,3.8762489332e-5
0.2375,2.9790685065e-6,-2.512201485,-1.58E-12,-2.74E-06,-1.58E-12,-2.74E-06,2.209869032e-14,3.8844267005e-5
0.238,3.0490971268e-6,-2.506916941,-1.56E-12,-2.74E-06,-1.56E-12,-2.74E-06,2.270824256e-14,3.8926044679e-5
0.2385,3.1183629668e-6,-2.501654621,-1.55E-12,-2.75E-06,-1.55E-12,-2.75E-06,2.331627112e-14,3.9007822356e-5
0.239,3.1868721655e-6,-2.496414386,-1.54E-12,-2.76E-06,-1.54E-12,-2.76E-06,2.392832867e-14,3.9089600034e-5
0.2395,3.2546295398e-6,-2.491196097,-1.53E-12,-2.76E-06,-1.53E-12,-2.76E-06,2.453553230e-14,3.9171377714e-5
0.24,3.3216415627e-6,-2.485999616,-1.52E-12,-2.77E-06,-1.52E-12,-2.77E-06,2.514787488e-14,3.9253155395e-5
0.2405,3.3879131380e-6,-2.480824806,-1.51E-12,-2.77E-06,-1.51E-12,-2.77E-06,2.575314400e-14,3.9334933078e-5
0.241,3.4534502125e-6,-2.475671533,-1.50E-12,-2.78E-06,-1.50E-12,-2.78E-06,2.635911125e-14,3.9416710763e-5
0.2415,3.5182577600e-6,-2.470539661,-1.49E-12,-2.78E-06,-1.49E-12,-2.78E-06,2.696688693e-14,3.9498488450e-5
0.242,3.5823411183e-6,-2.465429059,-1.48E-12,-2.79E-06,-1.48E-12,-2.79E-06,2.756981087e-14,3.9580266138e-5
0.2425,3.6457062472e-6,-2.460339593,-1.47E-12,-2.80E-06,-1.47E-12,-2.80E-06,2.817010282e-14,3.9662043829e-5
0.243,3.7083575570e-6,-2.455271133,-1.46E-12,-2.80E-06,-1.46E-12,-2.80E-06,2.877664499e-14,3.9743821520e-5
0.2435,3.7703012209e-6,-2.450223549,-1.45E-12,-2.81E-06,-1.45E-12,-2.81E-06,2.937833483e-14,3.9825599214e-5
0.244,3.8315416452e-6,-2.445196712,-1.44E-12,-2.81E-06,-1.44E-12,-2.81E-06,2.997517350e-14,3.9907376909e-5
0.2445,3.8920848531e-6,-2.440190494,-1.43E-12,-2.82E-06,-1.43E-12,-2.82E-06,3.057160165e-14,3.9989154607e-5
0.245,3.9519352286e-6,-2.435204769,-1.42E-12,-2.83E-06,-1.42E-12,-2.83E-06,3.117206048e-14,4.0070932305e-5
0.2455,4.0110980725e-6,-2.430239411,-1.41E-12,-2.83E-06,-1.41E-12,-2.83E-06,3.176877820e-14,4.0152710006e-5
0.246,4.0695785489e-6,-2.425294296,-1.40E-12,-2.84E-06,-1.40E-12,-2.84E-06,3.236619644e-14,4.0234487708e-5
0.2465,4.1273816503e-6,-2.420369299,-1.39E-12,-2.84E-06,-1.39E-12,-2.84E-06,3.295876423e-14,4.0316265412e-5
0.247,4.1845121460e-6,-2.415464299,-1.38E-12,-2.85E-06,-1.38E-12,-2.85E-06,3.355314242e-14,4.0398043118e-5
0.2475,4.2409749332e-6,-2.410579173,-1.37E-12,-2.85E-06,-1.37E-12,-2.85E-06,3.414489111e-14,4.0479820826e-5
0.248,4.2967755605e-6,-2.405713801,-1.35E-12,-2.86E-06,-1.35E-12,-2.86E-06,3.473623069e-14,4.0561598535e-5
0.2485,4.3519178434e-6,-2.400868063,-1.34E-12,-2.87E-06,-1.34E-12,-2.87E-06,3.532716161e-14,4.0643376247e-5
0.249,4.4064075766e-6,-2.396041841,-1.33E-12,-2.87E-06,-1.33E-12,-2.87E-06,3.591102222e-14,4.0725153960e-5
0.2495,4.4602490465e-6,-2.391235017,-1.32E-12,-2.88E-06,-1.32E-12,-2.88E-06,3.650446625e-14,4.0806931674e-5
0.25,4.5134468129e-6,-2.386447474,-1.31E-12,-2.88E-06,-1.31E-12,-2.88E-06,3.708973059e-14,4.0888709391e-5
0.2505,4.5660057576e-6,-2.381679096,-1.30E-12,-2.89E-06,-1.30E-12,-2.89E-06,3.767125583e-14,4.0970487109e-5
0.251,4.6179307221e-6,-2.376929768,-1.29E-12,-2.89E-06,-1.29E-12,-2.89E-06,3.825459392e-14,4.1052264829e-5
0.2515,4.6692262432e-6,-2.372199377,-1.28E-12,-2.90E-06,-1.28E-12,-2.90E-06,3.883752399e-14,4.1134042551e-5
0.252,4.7198965586e-6,-2.367487808,-1.27E-12,-2.91E-06,-1.27E-12,-2.91E-06,3.941782643e-14,4.1215820275e-5
0.2525,4.7699465066e-6,-2.362794951,-1.26E-12,-2.91E-06,-1.26E-12,-2.91E-06,3.999883122e-14,4.1297598000e-5
