Frequency (GHz),RE[S11],IM[S11],RE[S12],IM[S12],RE[S21],IM[S21],RE[S22],IM[S22]
4.1981,0.012993616,0.04158969,0.951709696,-0.303891609,0.951709696,-0.303891609,0.013511334,0.041424487
4.1982,0.012993744,0.041585159,0.951706079,-0.303903551,0.951706079,-0.303903551,0.013509743,0.041420492
4.1983,0.012993873,0.041580644,0.951702467,-0.303915475,0.951702467,-0.303915475,0.01350816,0.041416512
4.1984,0.012994004,0.041576146,0.95169886,-0.303927381,0.95169886,-0.303927381,0.013506585,0.041412546
4.1985,0.012994136,0.041571663,0.951695258,-0.303939268,0.951695258,-0.303939268,0.013505016,0.041408594
4.1986,0.01299427,0.041567197,0.951691661,-0.303951138,0.951691661,-0.303951138,0.013503455,0.041404656
4.1987,0.012994405,0.041562746,0.951688068,-0.303962989,0.951688068,-0.303962989,0.013501901,0.041400733
4.1988,0.012994542,0.041558312,0.951684481,-0.303974823,0.951684481,-0.303974823,0.013500354,0.041396824
4.1989,0.012994681,0.041553892,0.951680898,-0.303986639,0.951680898,-0.303986639,0.013498814,0.041392928
4.199,0.012994821,0.041549489,0.951677319,-0.303998438,0.951677319,-0.303998438,0.013497281,0.041389046
4.1991,0.012994962,0.041545101,0.951673746,-0.304010219,0.951673746,-0.304010219,0.013495755,0.041385178
4.1992,0.012995105,0.041540728,0.951670177,-0.304021982,0.951670177,-0.304021982,0.013494236,0.041381323
4.1993,0.012995249,0.04153637,0.951666613,-0.304033729,0.951666613,-0.304033729,0.013492724,0.041377482
4.1994,0.012995395,0.041532027,0.951663053,-0.304045458,0.951663053,-0.304045458,0.013491219,0.041373654
4.1995,0.012995543,0.041527699,0.951659498,-0.30405717,0.951659498,-0.30405717,0.01348972,0.041369839
4.1996,0.012995691,0.041523386,0.951655948,-0.304068866,0.951655948,-0.304068866,0.013488229,0.041366037
4.1997,0.012995841,0.041519088,0.951652402,-0.304080544,0.951652402,-0.304080544,0.013486744,0.041362249
4.1998,0.012995993,0.041514804,0.951648861,-0.304092206,0.951648861,-0.304092206,0.013485265,0.041358473
4.1999,0.012996146,0.041510535,0.951645324,-0.304103852,0.951645324,-0.304103852,0.013483794,0.04135471
4.2,0.0129963,0.04150628,0.951641792,-0.30411548,0.951641792,-0.30411548,0.013482328,0.04135096
